date,strategy
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.0
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,-0.04706076934686993
2006-03-31,0.051968886824112395
2006-04-30,-0.005018243924024113
2006-05-31,-0.0492140235916509
2006-06-30,0.04549521889202907
2006-07-31,-0.02278188273894163
2006-08-31,-0.075917138199389
2006-09-30,-0.014337943068990102
2006-10-31,0.008973237532630832
2006-11-30,-0.035128347344883085
2006-12-31,-0.00894342425252612
2007-01-31,0.026998289309575388
2007-02-28,0.0031725359132189906
2007-03-31,0.05874142462988404
2007-04-30,-0.0144438246942406
2007-05-31,-0.007946529359459798
2007-06-30,0.006617679312763112
2007-07-31,0.032823200151815606
2007-08-31,0.0330926245363802
2007-09-30,0.06510242181459373
2007-10-31,0.04573305749309094
2007-11-30,0.07480307586159679
2007-12-31,0.07630936215331888
2008-01-31,-0.14607967889361217
2008-02-29,0.0879215124844673
2008-03-31,0.04696180849890234
2008-04-30,0.04855120749565571
2008-05-31,0.04441284842321663
2008-06-30,0.17463421125364814
2008-07-31,-0.13492462085952142
2008-08-31,-0.06860532997635654
2008-09-30,-0.057920732263472004
2008-10-31,-0.000516272219119502
2008-11-30,0.11100755889394544
2008-12-31,-0.12134702962927701
2009-01-31,-0.019214136702249807
2009-02-28,0.13851593875940982
2009-03-31,-0.16904449713194517
2009-04-30,-0.5478654270901018
2009-05-31,-0.2372728636039999
2009-06-30,0.04749114378917659
2009-07-31,-0.09138778561552549
2009-08-31,-0.12914976910699444
2009-09-30,-0.08570008633151371
2009-10-31,0.013592194193766716
2009-11-30,0.02319633741313093
2009-12-31,0.05948449130145479
2010-01-31,-0.07639771396918808
2010-02-28,0.046657477337444166
2010-03-31,0.05876935918566356
2010-04-30,0.034653256873587494
2010-05-31,-0.015822489812339413
2010-06-30,-0.0339453156615014
2010-07-31,-0.00881555165493788
2010-08-31,-0.014289609696900836
2010-09-30,-0.030991044978045168
2010-10-31,0.032230284133942855
2010-11-30,0.020007303025023578
2010-12-31,-0.07525079155925893
2011-01-31,-0.04926170996283646
2011-02-28,0.0012404308078849376
2011-03-31,0.026469581056442322
2011-04-30,-0.013120834920434983
2011-05-31,0.02196223379092458
2011-06-30,0.02011394738902576
2011-07-31,0.03523330413700281
2011-08-31,0.032398425748557655
2011-09-30,0.04122438106653786
2011-10-31,-0.023009515678520203
2011-11-30,0.039000158327556336
2011-12-31,0.015895248207221453
2012-01-31,-0.13382358031212582
2012-02-29,-0.012537047688049165
2012-03-31,0.020340057454020326
2012-04-30,0.07586182870988578
2012-05-31,0.05670833736339302
2012-06-30,-0.04310709037097075
2012-07-31,0.025532640825552944
2012-08-31,-0.02859780118744036
2012-09-30,-0.011344156957096493
2012-10-31,0.0027647543877792943
2012-11-30,0.025554379009234105
2012-12-31,-0.027182236484159808
2013-01-31,0.011123007094962337
2013-02-28,0.01993831302316616
2013-03-31,0.03680795525938954
2013-04-30,-0.01088624897920841
2013-05-31,-0.009581220001225629
2013-06-30,-0.01843554680669485
2013-07-31,0.03506129129476862
2013-08-31,0.004284911824296808
2013-09-30,0.021550528809427264
2013-10-31,0.025303964720924745
2013-11-30,0.027406707031805592
2013-12-31,-0.010188731968531033
2014-01-31,-0.015335312075143732
2014-02-28,0.037560726384504174
2014-03-31,-0.042806627498939674
2014-04-30,-0.051785565586985376
2014-05-31,0.02211520778835224
2014-06-30,0.01474497375067171
2014-07-31,-0.033052849803459225
2014-08-31,-0.012726906766219027
2014-09-30,0.003448242374574878
2014-10-31,-0.02799276159991018
2014-11-30,0.04956525641206846
2014-12-31,0.004904110010726316
2015-01-31,0.06100717233646822
2015-02-28,-0.05510929838236247
2015-03-31,0.037169549963166154
2015-04-30,-0.1104570414953513
2015-05-31,0.08686736638212136
2015-06-30,0.02729480169500011
2015-07-31,0.12942272608882827
2015-08-31,0.0008563745127576489
2015-09-30,0.08102954339987667
2015-10-31,-0.022578851511571664
2015-11-30,0.015328373097905837
2015-12-31,0.04977763764985063
2016-01-31,0.025803184632674756
2016-02-29,-0.056557726398351015
2016-03-31,-0.0736945306428147
2016-04-30,-0.09831887830592673
2016-05-31,0.014588017177135353
2016-06-30,0.051673222533593036
2016-07-31,-0.06699459083019081
2016-08-31,-0.05464803519426991
2016-09-30,-0.013450178178173398
2016-10-31,-0.007172435516652193
2016-11-30,-0.056533076602843214
2016-12-31,-0.01877779250948699
2017-01-31,-0.0040165971947172694
2017-02-28,0.005959138914456328
2017-03-31,0.007631087971144891
2017-04-30,0.0006773502296012071
2017-05-31,0.0902669017086655
2017-06-30,-0.057654274485722745
2017-07-31,0.017353138666689957
2017-08-31,0.042966571108247434
2017-09-30,-0.010931243226645392
2017-10-31,0.07545235498833411
2017-11-30,-0.05804612953578077
2017-12-31,-0.04785010078145648
2018-01-31,0.046589510031947785
2018-02-28,0.02692743349162713
2018-03-31,-0.0022651373184129544
2018-04-30,-0.02690904167230421
2018-05-31,0.012851086373785337
2018-06-30,-0.05326767287856356
2018-07-31,-0.007260854192958186
2018-08-31,0.051602582670750935
2018-09-30,0.007307053297320936
2018-10-31,-0.04635203247272422
2018-11-30,-0.011599355065722232
2018-12-31,0.031856025740526164
2019-01-31,-0.0888614263241887
2019-02-28,-0.0096360403181736
2019-03-31,0.02977995194269918
2019-04-30,-0.046883471607130835
2019-05-31,0.0956305850198367
2019-06-30,-0.09547560385855576
2019-07-31,-0.0001556377684412101
2019-08-31,0.1469044511403762
2019-09-30,-0.10081598188602828
2019-10-31,-0.014477085224551827
2019-11-30,-0.03187722909307754
2019-12-31,-0.04571930960223895
2020-01-31,0.04699352468772797
2020-02-29,0.039902138926320954
2020-03-31,0.2504967386779199
2020-04-30,-0.16961302479328635
2020-05-31,0.05698975185529597
2020-06-30,-0.05063748028882686
2020-07-31,0.07364308920726569
2020-08-31,-0.031090414268946483
2020-09-30,0.028045455944079367
2020-10-31,-0.0005621445553914799
2020-11-30,-0.23462682824457848
2020-12-31,-0.0316664419007626
2021-01-31,-0.023741962223757976
2021-02-28,-0.11239602515353644
2021-03-31,-0.06180047738377035
2021-04-30,0.020735399513451706
2021-05-31,0.010739057135504083
2021-06-30,-0.05020580724160532
2021-07-31,-0.01480821062826448
2021-08-31,0.0299883406264159
2021-09-30,0.008626615683973757
2021-10-31,0.0531779473297113
2021-11-30,-0.00304366771004865
2021-12-31,-0.05778603471503903
2022-01-31,-0.022981956123149603
2022-02-28,0.041442748422903804
2022-03-31,0.06351534505310895
2022-04-30,0.0178657663393028
2022-05-31,0.04875287838934867
2022-06-30,0.025193490481293913
2022-07-31,-0.08057432859841307
2022-08-31,0.059454352060753834
2022-09-30,0.050567149817780835
2022-10-31,0.06927394194632311
2022-11-30,-0.09722771909921646
2022-12-31,0.028801309839737343
2023-01-31,-0.17713569282093594
2023-02-28,0.006490109960420976
2023-03-31,-0.008553741105163815
2023-04-30,0.02349046257474993
2023-05-31,0.023085749674965128
2023-06-30,-0.007778348880466292
2023-07-31,-0.07184037983446834
2023-08-31,0.03534472289537888
2023-09-30,-0.0009042175545913933
2023-10-31,0.03193786137704707
2023-11-30,0.016956356686561713
2023-12-31,-0.06673322643196657
2024-01-31,0.06726457319197543
2024-02-29,0.07207532254639695
2024-03-31,-0.01965780531839987
2024-04-30,0.01068626714173249
2024-05-31,0.026571389178758786
2024-06-30,0.037244398107202537
2024-07-31,-0.05244395055449062
2024-08-31,0.04874668881891504
2024-09-30,0.002469239195136171
2024-10-31,0.014792044367338844
2024-11-30,0.055998219816609546
2024-12-31,-0.02058102782315957
