date,strategy_net
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.0
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,-0.024030384673434966
2006-03-31,0.02568046481375431
2006-04-30,-0.0027102935280101676
2006-05-31,-0.02488470518146012
2006-06-30,0.02241830717414944
2006-07-31,-0.011618137209641824
2006-08-31,-0.03823144536376535
2006-09-30,-0.0074567300215003934
2006-10-31,0.004165758100515673
2006-11-30,-0.017953954618309974
2006-12-31,-0.004825391678937564
2007-01-31,0.013207855632461126
2007-02-28,0.0012903440405279457
2007-03-31,0.029067413321715817
2007-04-30,-0.007520342009365734
2007-05-31,-0.004259246289965859
2007-06-30,0.003032852577671826
2007-07-31,0.01617573972883299
2007-08-31,0.016127367532696738
2007-09-30,0.03229628349363212
2007-10-31,0.022549642656922712
2007-11-30,0.03707710288023063
2007-12-31,0.037891549908553236
2008-01-31,-0.07332530805076996
2008-02-29,0.043696569775813765
2008-03-31,0.023211388310573167
2008-04-30,0.024051679023741335
2008-05-31,0.021977125834882517
2008-06-30,0.08708551177439885
2008-07-31,-0.06768763866669435
2008-08-31,-0.03468330698880664
2008-09-30,-0.02909064930649626
2008-10-31,-0.000555122372407962
2008-11-30,0.0550242393016331
2008-12-31,-0.06094626810786349
2009-01-31,-0.009905072809252138
2009-02-28,0.06882442461344929
2009-03-31,-0.0848680652534938
2009-04-30,-0.2742110001329946
2009-05-31,-0.11896608825237856
2009-06-30,0.02344783298496932
2009-07-31,-0.045996467987211506
2009-08-31,-0.0649893154764895
2009-09-30,-0.04316849416178591
2009-10-31,0.006368191108779853
2009-11-30,0.011094997615760802
2009-12-31,0.02931373483848658
2010-01-31,-0.03850350308496526
2010-02-28,0.02288629194449213
2010-03-31,0.029063631742468496
2010-04-30,0.017106518130098326
2010-05-31,-0.008176435564957242
2010-06-30,-0.01732656826283233
2010-07-31,-0.004719834219062814
2010-08-31,-0.007491285569935166
2010-09-30,-0.01594899856832217
2010-10-31,0.015828798894840276
2010-11-30,0.009668649503362369
2010-12-31,-0.03791501741240604
2011-01-31,-0.02496339036546521
2011-02-28,0.00027975390950427115
2011-03-31,0.01290660433692653
2011-04-30,-0.006884729250443078
2011-05-31,0.010562398261440916
2011-06-30,0.009799548574483324
2011-07-31,0.017412314477105305
2011-08-31,0.01592120949404763
2011-09-30,0.020324217711524022
2011-10-31,-0.011782552295229691
2011-11-30,0.019273994343516954
2011-12-31,0.007669208436785726
2012-01-31,-0.06719704554406195
2012-02-29,-0.006617413084480891
2012-03-31,0.009877987606655753
2012-04-30,0.03765383072766048
2012-05-31,0.02808439244026836
2012-06-30,-0.021803684505477046
2012-07-31,0.012456280070749661
2012-08-31,-0.014567230036048715
2012-09-30,-0.006024839512521559
2012-10-31,0.0009851697840242272
2012-11-30,0.012410873798799389
2012-12-31,-0.013849427168228122
2013-01-31,0.005316071604281061
2013-02-28,0.009716335531543807
2013-03-31,0.018132402178458615
2013-04-30,-0.0056403419847349924
2013-05-31,-0.005109203797176196
2013-06-30,-0.009591937437435966
2013-07-31,0.017306446711430924
2013-08-31,0.0018413260238326705
2013-09-30,0.010606953726194135
2013-10-31,0.012432458929420211
2013-11-30,0.013418224787444692
2013-12-31,-0.0053410774830354515
2014-01-31,-0.007870476445130578
2014-02-28,0.018490665319452555
2014-03-31,-0.021659552231292994
2014-04-30,-0.026148750469841945
2014-05-31,0.010723473326877501
2014-06-30,0.007090910882630191
2014-07-31,-0.016857878172487198
2014-08-31,-0.006740990560775974
2014-09-30,0.0014676305209035579
2014-10-31,-0.014311665985766693
2014-11-30,0.02441838056302993
2014-12-31,0.0020656556950430166
2015-01-31,0.030279550768426037
2015-02-28,-0.02790225436760701
2015-03-31,0.018323098408523742
2015-04-30,-0.055415744530865216
2015-05-31,0.04314023385160591
2015-06-30,0.01341490959561409
2015-07-31,0.06448047713561911
2015-08-31,0.00020100042655785686
2015-09-30,0.0403074820644974
2015-10-31,-0.011507165542557471
2015-11-30,0.007382706535656807
2015-12-31,0.024574583861490282
2016-01-31,0.012637330740697512
2016-02-29,-0.028589173092840925
2016-03-31,-0.037155084426992495
2016-04-30,-0.049397045990637704
2016-05-31,0.006975448882364957
2016-06-30,0.025611890478114276
2016-07-31,-0.033810401764215216
2016-08-31,-0.027642497906437014
2016-09-30,-0.007042565384441123
2016-10-31,-0.00394487902900231
2016-11-30,-0.028640739983024868
2016-12-31,-0.009801028557131438
2017-01-31,-0.0022947368521596444
2017-02-28,0.0025486863342391967
2017-03-31,0.003545615902503237
2017-04-30,0.00011511269403195108
2017-05-31,0.04484034331790617
2017-06-30,-0.029080602460310506
2017-07-31,0.008374349041943714
2017-08-31,0.021229867577014134
2017-09-30,-0.005790434941388411
2017-10-31,0.03743315594764752
2017-11-30,-0.029363794515887408
2017-12-31,-0.02422247246477231
2018-01-31,0.023077877690002715
2018-02-28,0.013155209121908077
2018-03-31,-0.0013628088946574348
2018-04-30,-0.013659620787028946
2018-05-31,0.0061525055480306364
2018-06-30,-0.026922136490370095
2018-07-31,-0.003957049570916575
2018-08-31,0.025509778839807987
2018-09-30,0.003424219218773033
2018-10-31,-0.023434126147404644
2018-11-30,-0.00623004863883429
2018-12-31,0.015561226139212703
2019-01-31,-0.04471532595696135
2019-02-28,-0.005149572264505848
2019-03-31,0.014569229106619067
2019-04-30,-0.023739221295920397
2019-05-31,0.0474389937855634
2019-06-30,-0.04809853633451176
2019-07-31,-0.0003846406344680235
2019-08-31,0.07310998635310768
2019-09-30,-0.050666480136843085
2019-10-31,-0.007535692989769726
2019-11-30,-0.016296335094834566
2019-12-31,-0.02324403974515669
2020-01-31,0.023199447142376345
2020-02-29,0.019574858392204627
2020-03-31,0.12496539760977049
2020-04-30,-0.08527275701308694
2020-05-31,0.02823843676118481
2020-06-30,-0.025613920616138434
2020-07-31,0.03661198466169957
2020-08-31,-0.015763978684274527
2020-09-30,0.013732487505749784
2020-10-31,-0.0005149904942158506
2020-11-30,-0.11759301227465857
2020-12-31,-0.01610021608590789
2021-01-31,-0.012054846619191522
2021-02-28,-0.05649717771646337
2021-03-31,-0.03126539916122334
2021-04-30,0.009807672875534702
2021-05-31,0.005115866940025988
2021-06-30,-0.02532409146525958
2021-07-31,-0.007625450388134924
2021-08-31,0.014738157181478173
2021-09-30,0.004037580600773295
2021-10-31,0.026323036371414994
2021-11-30,-0.0018253396678551417
2021-12-31,-0.02931413403837901
2022-01-31,-0.011794141776672143
2022-02-28,0.020318282155919073
2022-03-31,0.031347931387235926
2022-04-30,0.008589925453064227
2022-05-31,0.02406333917484157
2022-06-30,0.012315424108959933
2022-07-31,-0.0405404943448012
2022-08-31,0.02947510251663445
2022-09-30,0.025078755658402764
2022-10-31,0.03446374339798859
2022-11-30,-0.04888645518372945
2022-12-31,0.014204780495200929
2023-01-31,-0.08884469814231116
2023-02-28,0.002893185979722675
2023-03-31,-0.0046322443770388565
2023-04-30,0.011364818260114509
2023-05-31,0.011273466466412122
2023-06-30,-0.004266059502867668
2023-07-31,-0.036237240521760715
2023-08-31,0.017368693158350886
2023-09-30,-0.0007635597845580774
2023-10-31,0.015734166493512756
2023-11-30,0.008167498841007344
2023-12-31,-0.0336635288781921
2024-01-31,0.03334298661449829
2024-02-29,0.035713139979959244
2024-03-31,-0.010094853974112304
2024-04-30,0.0050274382259763405
2024-05-31,0.013005664540671005
2024-06-30,0.018290256236700678
2024-07-31,-0.026459074846618573
2024-08-31,0.024069140932281036
2024-09-30,0.0009726084643459263
2024-10-31,0.007157632018112898
2024-11-30,0.02763036855084074
2024-12-31,-0.010565349965127879
