date,turnover
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.0
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,0.5
2006-03-31,0.3039785983018878
2006-04-30,0.201171565998111
2006-05-31,0.27769338563467416
2006-06-30,0.3293022718650949
2006-07-31,0.22719584017100813
2006-08-31,0.27287626407084803
2006-09-30,0.28775848700534234
2006-10-31,0.32086066579974404
2006-11-30,0.38978094586842627
2006-12-31,0.3536795526745029
2007-01-31,0.29128902232656856
2007-02-28,0.29592391608154966
2007-03-31,0.3032989932262032
2007-04-30,0.2984296622454338
2007-05-31,0.28598161023595925
2007-06-30,0.2759870787097296
2007-07-31,0.23586034707481518
2007-08-31,0.41894473549336336
2007-09-30,0.2549274136647465
2007-10-31,0.31688608962275705
2007-11-30,0.32443505056776034
2007-12-31,0.2631311681061992
2008-01-31,0.28546860396385204
2008-02-29,0.2641864664198863
2008-03-31,0.2695159388779999
2008-04-30,0.22392472408651867
2008-05-31,0.2292983767258025
2008-06-30,0.23159385242521197
2008-07-31,0.22532823693363713
2008-08-31,0.38064200062836706
2008-09-30,0.1302831747602565
2008-10-31,0.29698626284821106
2008-11-30,0.4795401453396185
2008-12-31,0.2727532932249773
2009-01-31,0.29800445812723436
2009-02-28,0.4335447662556159
2009-03-31,0.3458166875212228
2009-04-30,0.27828658794369665
2009-05-31,0.3296564503786057
2009-06-30,0.29773890961897914
2009-07-31,0.3025751794487467
2009-08-31,0.4144309229922861
2009-09-30,0.31845099602905635
2009-10-31,0.4279059881035051
2009-11-30,0.5031710908046632
2009-12-31,0.4285108122408151
2010-01-31,0.30464610037121603
2010-02-28,0.4424467242299602
2010-03-31,0.3210478503632831
2010-04-30,0.2201103066954203
2010-05-31,0.26519065878753595
2010-06-30,0.3539104320816301
2010-07-31,0.3120583915938744
2010-08-31,0.3464807214847483
2010-09-30,0.45347607929958644
2010-10-31,0.28634317213115196
2010-11-30,0.3350020091494229
2010-12-31,0.28962163277658093
2011-01-31,0.33253538404697924
2011-02-28,0.34046149443819895
2011-03-31,0.3281861912946312
2011-04-30,0.3243117902255862
2011-05-31,0.41871863402137344
2011-06-30,0.25742512002955653
2011-07-31,0.2043375913961025
2011-08-31,0.27800338023119453
2011-09-30,0.28797282174490946
2011-10-31,0.2777944559695894
2011-11-30,0.22608482026121499
2011-12-31,0.2784156668250001
2012-01-31,0.28525538799903644
2012-02-29,0.348889240456308
2012-03-31,0.2920411203544105
2012-04-30,0.27708362728240804
2012-05-31,0.269776241428152
2012-06-30,0.2501393199916717
2012-07-31,0.3100403420268102
2012-08-31,0.268329442328534
2012-09-30,0.3527610339733123
2012-10-31,0.3972074098654199
2012-11-30,0.36631570581766576
2012-12-31,0.2583089261482175
2013-01-31,0.24543194320010706
2013-02-28,0.2528209800392728
2013-03-31,0.271575451236155
2013-04-30,0.19721749513078726
2013-05-31,0.31859379656338155
2013-06-30,0.37416403408853993
2013-07-31,0.22419893595338658
2013-08-31,0.3011298883157334
2013-09-30,0.16831067851949663
2013-10-31,0.21952343104216132
2013-11-30,0.2851287284581032
2013-12-31,0.2467114987699352
2014-01-31,0.20282040755871122
2014-02-28,0.2896978727995331
2014-03-31,0.256238481823158
2014-04-30,0.25596767634925643
2014-05-31,0.3341305672986172
2014-06-30,0.28157599270566436
2014-07-31,0.33145327075758413
2014-08-31,0.37753717766646055
2014-09-30,0.2564906663838811
2014-10-31,0.31528518581160314
2014-11-30,0.36424764300430434
2014-12-31,0.38639931032014346
2015-01-31,0.22403539980807924
2015-02-28,0.3476051764257732
2015-03-31,0.26167657305933784
2015-04-30,0.18722378318956495
2015-05-31,0.2934493394547749
2015-06-30,0.23249125188596453
2015-07-31,0.23088590879503088
2015-08-31,0.22718682982096758
2015-09-30,0.20728963544093593
2015-10-31,0.2177397867716382
2015-11-30,0.28148001329611155
2015-12-31,0.3142349634350319
2016-01-31,0.2642615756398653
2016-02-29,0.31030989366541917
2016-03-31,0.30781910558514725
2016-04-30,0.23760683767434423
2016-05-31,0.3185597062027199
2016-06-30,0.22472078868224366
2016-07-31,0.31310634911981083
2016-08-31,0.3184803093020592
2016-09-30,0.3174762953544238
2016-10-31,0.35866127067621356
2016-11-30,0.37420168160326195
2016-12-31,0.4121323023879442
2017-01-31,0.2864382548010118
2017-02-28,0.4308831229889669
2017-03-31,0.2699280830692087
2017-04-30,0.2235624207686525
2017-05-31,0.29310753642657417
2017-06-30,0.2534652174491327
2017-07-31,0.3022202914012676
2017-08-31,0.25341797710958214
2017-09-30,0.3248133280657156
2017-10-31,0.2930215465195336
2017-11-30,0.34072974799702493
2017-12-31,0.29742207404406684
2018-01-31,0.21687732597118137
2018-02-28,0.30850762390548825
2018-03-31,0.23024023545095762
2018-04-30,0.2050999508768406
2018-05-31,0.27303763886203186
2018-06-30,0.2883000510883151
2018-07-31,0.3266224744374823
2018-08-31,0.2915124955674816
2018-09-30,0.22930742988743488
2018-10-31,0.2581099110425322
2018-11-30,0.4303711059731743
2018-12-31,0.36678673105038206
2019-01-31,0.2846127948670045
2019-02-28,0.3315521054190478
2019-03-31,0.3207468647305235
2019-04-30,0.2974854923549791
2019-05-31,0.37629872435495687
2019-06-30,0.36073440523388245
2019-07-31,0.3068217502474184
2019-08-31,0.3422392170804142
2019-09-30,0.2584891938289446
2019-10-31,0.2971503774938128
2019-11-30,0.35772054829579647
2019-12-31,0.3843849440372138
2020-01-31,0.2973152014876393
2020-02-29,0.3762110709558517
2020-03-31,0.28297172918945374
2020-04-30,0.46624461644375537
2020-05-31,0.25643916646317777
2020-06-30,0.29518047172500367
2020-07-31,0.2095599419332759
2020-08-31,0.2187715498012851
2020-09-30,0.2902404662898989
2020-10-31,0.23391821652011077
2020-11-30,0.27959815236933594
2020-12-31,0.26699513552659054
2021-01-31,0.183865507312534
2021-02-28,0.29916513969515
2021-03-31,0.36516046933816765
2021-04-30,0.5600268811911506
2021-05-31,0.25366162772605366
2021-06-30,0.22118784445691902
2021-07-31,0.221345074002686
2021-08-31,0.25601313172978096
2021-09-30,0.27572724121358405
2021-10-31,0.26593729344066386
2021-11-30,0.30350581283081834
2021-12-31,0.4211166808594949
2022-01-31,0.30316371509734064
2022-02-28,0.40309205553282845
2022-03-31,0.40974113931854494
2022-04-30,0.3429577165871748
2022-05-31,0.31310001983276653
2022-06-30,0.281321131687031
2022-07-31,0.2533300455946579
2022-08-31,0.2520735137424689
2022-09-30,0.20481925048765698
2022-10-31,0.17322757517296028
2022-11-30,0.27259563412121823
2022-12-31,0.19587442466774163
2023-01-31,0.2768517318431851
2023-02-28,0.35186900048781306
2023-03-31,0.3553738244569492
2023-04-30,0.3804130272604562
2023-05-31,0.2694083710704419
2023-06-30,0.3768850626345215
2023-07-31,0.3170506045265494
2023-08-31,0.3036682893385524
2023-09-30,0.3114510072623815
2023-10-31,0.23476419501078388
2023-11-30,0.3106795022735164
2023-12-31,0.29691566220881915
2024-01-31,0.2892999814894286
2024-02-29,0.3245212932392318
2024-03-31,0.265951314912369
2024-04-30,0.3156953448899045
2024-05-31,0.28003004870838855
2024-06-30,0.3319428169005913
2024-07-31,0.23709956937325466
2024-08-31,0.304203477176484
2024-09-30,0.2620111332221592
2024-10-31,0.23839016555652398
2024-11-30,0.3687413574640327
2024-12-31,0.27483605354809176
